Country,ISO,Sex,Year,AgeStd_Diabetes_18+,AgeStd_Diab_L95_18+,AgeStd_Diab_L95_v2_18+,AgeStd_Treated_30+,AgeStd_Treat_L95_30+,AgeStd_Treat_U95_30+,Crude_Diabetes_18+,Crude_Diab_L95_18+,Crude_Diab_U95_18+,Crude_Treated_30+,Crude_Treat_L95_30+,Crude_Treat_U95_30+
Egypt,EGY,Men,1990,1036.5290400000001,6.1363491,15.804437299999998,39.7206469,23.0185572,58.712235400000004,7.922620299999999,4.5380507,12.5259204,39.247946999999996,22.6428641,58.20227799999999
Egypt,EGY,Men,1991,1047.19193,6.415638899999999,15.779379900000002,40.4989895,24.1252496,58.74369,7.9946277,4.7271345,12.3840404,39.8453278,23.7362991,57.860805299999996
Egypt,EGY,Men,1992,1060.03513,6.701342100000001,15.556948,41.270558699999995,25.3909494,58.5439798,8.1057939,4.962295800000001,12.2963416,40.4548667,24.7953236,57.6765144
Egypt,EGY,Men,1993,1074.1698,6.9848627,15.4241195,42.0284771,26.948754200000003,58.4410261,8.231585800000001,5.1627114,12.2204866,41.0562363,26.020876599999998,57.239348
Egypt,EGY,Men,1994,1089.9657100000002,7.1761527,15.4437743,42.7746367,28.1052034,58.551344900000004,8.376609799999999,5.3725716,12.2392275,41.6524601,27.1485786,57.2910979
Egypt,EGY,Men,1995,1107.14559,7.3850318999999995,15.4179967,43.4977424,29.2772778,58.5703581,8.5345274,5.608130699999999,12.3029456,42.2322333,28.279859499999997,57.25030290000001
Egypt,EGY,Men,1996,1126.1300800000001,7.642182,15.4740156,44.20822,30.411179399999998,58.5651876,8.7117452,5.7794821,12.3573647,42.8121021,29.354476000000002,57.062011999999996
Egypt,EGY,Men,1997,1147.24512,7.8614479,15.6716656,44.9006206,31.5833768,58.8375649,8.9121662,5.9981443,12.4632492,43.3892102,30.3069553,57.2705629
Egypt,EGY,Men,1998,1170.53334,8.1818334,15.8215714,45.5761958,32.7540587,58.921457700000005,9.130102299999999,6.2123653,12.6266672,43.9566431,31.3993405,57.3403802
Egypt,EGY,Men,1999,1196.43883,8.4466804,15.984758800000002,46.2338127,33.829048699999994,59.0037264,9.3706911,6.4289041000000005,12.785355200000001,44.5091161,32.4221802,57.2019084
Egypt,EGY,Men,2000,1225.4439,8.7323468,16.2341946,46.861764900000004,34.9077747,59.2106111,9.6407565,6.7155853,12.9772041,45.038673,33.4789826,57.146042900000005
Egypt,EGY,Men,2001,1257.99407,9.1240447,16.4100152,47.4576754,35.9536344,59.3326445,9.942361700000001,7.0570993,13.236283300000002,45.54668,34.2925447,57.0485455
Egypt,EGY,Men,2002,1294.24007,9.526476200000001,16.7405194,48.0209313,36.885968600000005,59.4157318,10.2801749,7.4398392,13.5593886,46.0345834,35.2257064,57.135523899999995
Egypt,EGY,Men,2003,1334.70015,10.0311203,17.1167522,48.5475148,37.950983799999996,59.3603731,10.6594328,7.8486577,13.919603,46.495441799999995,36.131539000000004,57.070244800000005
Egypt,EGY,Men,2004,1380.54882,10.51329,17.456111999999997,49.0100215,38.673489599999996,59.4099032,11.0910417,8.3111268,14.3082029,46.8966863,36.9456099,57.08677
Egypt,EGY,Men,2005,1432.86929,11.0910055,17.959186499999998,49.3990198,39.376882,59.4916499,11.586202499999999,8.818541,14.704842800000002,47.2249238,37.5880799,56.9857068
Egypt,EGY,Men,2006,1491.59056,11.6728477,18.5501163,49.7033925,40.0183531,59.4498364,12.149219,9.3819562,15.3271093,47.4759516,38.207712900000004,56.885905
Egypt,EGY,Men,2007,1556.83477,12.31526,19.1202506,49.9224386,40.6056883,59.2044527,12.786952500000002,9.9611894,15.9308914,47.6547459,38.6994201,56.639103199999994
Egypt,EGY,Men,2008,1628.3080599999998,13.013738799999999,19.86796,50.0722095,41.0755145,58.916963700000004,13.4976707,10.6398666,16.631432,47.772339099999996,39.2074902,56.285850100000005
Egypt,EGY,Men,2009,1705.75848,13.7673136,20.632735,50.1573465,41.4365175,58.605517,14.2766132,11.3639463,17.4614863,47.8267857,39.59621,56.086224699999995
Egypt,EGY,Men,2010,1785.8723300000001,14.490114100000001,21.409337700000002,50.171416300000004,41.5687977,58.4874947,15.0950124,12.083984000000001,18.256247300000002,47.8119213,39.748838,55.811599
Egypt,EGY,Men,2011,1865.6355599999997,15.1769797,22.3266226,50.099057599999995,41.627865,58.2050911,15.914681999999999,12.7834956,19.216027399999998,47.7031344,39.6419894,55.5793151
Egypt,EGY,Men,2012,1942.88934,15.811013500000001,23.2758664,49.9242155,41.596233,57.911299699999994,16.7193069,13.429474599999999,20.2327172,47.4877298,39.5585511,55.2192386
Egypt,EGY,Men,2013,2019.07022,16.3880406,24.327875900000002,49.6405732,41.3499873,57.6616087,17.5291786,14.015117599999998,21.3328441,47.161688,39.126616600000006,54.867598699999995
Egypt,EGY,Men,2014,2095.2491999999997,16.804585,25.370133900000003,49.2450517,40.8369934,57.484939999999995,18.3552274,14.525552999999999,22.4552982,46.730561,38.582217899999996,54.6491217
Egypt,EGY,Men,2015,2172.5020999999997,17.210937700000002,26.514067,48.740243,39.8051215,57.3528401,19.2125369,15.0229115,23.672917299999998,46.2128979,37.7541083,54.4919036
Egypt,EGY,Men,2016,2251.68665,17.5939566,27.7084287,48.1340072,38.7297522,57.241556,20.091465499999998,15.459522,25.132509600000002,45.603696,36.616419,54.4823458
Egypt,EGY,Men,2017,2323.05997,17.771357400000003,29.161335700000002,47.4749078,37.3392243,57.3440168,20.896742800000002,15.7203949,26.5911293,44.94812,35.302301400000005,54.6365294
Egypt,EGY,Men,2018,2384.86857,17.7649948,30.589298,46.8151696,35.7998445,57.6411243,21.6160997,15.8037133,28.1324858,44.2983937,33.785046,54.8008457
Egypt,EGY,Men,2019,2444.6473899999996,17.5432062,32.1158827,46.1825112,34.263662499999995,58.0884375,22.3187356,15.7673494,29.8440016,43.6863588,32.060595,55.278464400000004
Egypt,EGY,Men,2020,2505.59758,17.1898849,33.8533681,45.5723943,32.336536,58.60314639999999,23.0224928,15.580423500000002,31.684699900000002,43.0957348,30.2423055,55.7421873
Egypt,EGY,Men,2021,2568.11364,16.8585459,35.766530200000005,44.9852743,30.216136,59.1825587,23.7265012,15.2887106,33.6858218,42.518411900000004,28.4056331,56.439395000000005
Egypt,EGY,Men,2022,2631.9916300000004,16.3853028,37.595255300000005,44.4059983,28.1647003,60.0062799,24.4578371,14.953413199999998,35.720648,41.984707900000004,26.495885200000004,57.379611600000004
Egypt,EGY,Women,1990,1088.09988,5.9526162000000005,17.0741367,39.015169900000004,24.0872851,55.6678768,9.0134653,4.8523077,14.340372700000001,38.9883174,24.006723899999997,55.641812
Egypt,EGY,Women,1991,1126.53087,6.515948300000001,17.1152243,39.5442177,25.147729,55.458133200000006,9.306073900000001,5.2883928,14.422167199999999,39.407682199999996,25.0189405,55.164782
Egypt,EGY,Women,1992,1165.6678900000002,7.000121300000001,17.2946568,40.0720104,26.102611399999997,55.2131735,9.621152400000001,5.6752937,14.5327246,39.8360717,25.9618693,54.984759800000006
Egypt,EGY,Women,1993,1205.25661,7.4708234,17.581713800000003,40.598495400000004,27.0528671,55.1567509,9.9406567,6.0900289,14.7100804,40.2627292,26.885074399999997,54.7130847
Egypt,EGY,Women,1994,1244.86531,7.9716032000000006,17.8280472,41.1169679,28.147536499999998,54.927513100000006,10.2620716,6.454303599999999,14.9731077,40.6806314,27.847712200000004,54.4851788
Egypt,EGY,Women,1995,1284.66992,8.480805499999999,18.0788661,41.6317141,29.0913938,54.757226,10.586388600000001,6.8613856,15.143536899999999,41.0990117,28.6007668,54.1823971
Egypt,EGY,Women,1996,1324.05064,8.9034203,18.4215797,42.1495366,29.6889656,54.8325916,10.9124161,7.2274824,15.4135014,41.530922999999994,29.1756461,54.2191301
Egypt,EGY,Women,1997,1362.74213,9.3937919,18.647163,42.6516463,30.6153935,54.9878015,11.2378044,7.5858386,15.585216099999998,41.9570145,29.9408926,54.25296349999999
Egypt,EGY,Women,1998,1400.84934,9.8877091,18.8801804,43.1441046,31.389675500000003,55.3244089,11.556968300000001,7.9991353,15.7979656,42.3755289,30.6767313,54.4131582
Egypt,EGY,Women,1999,1438.1023300000002,10.3700948,19.140136299999998,43.6249811,32.2201017,55.4538325,11.868746400000001,8.424939,16.025672,42.7808055,31.499592399999997,54.4270962
Egypt,EGY,Women,2000,1474.9067900000002,10.8283826,19.355975,44.0918344,33.0102442,55.363999500000006,12.181296399999999,8.768189099999999,16.2423276,43.1788818,32.1981514,54.4348119
Egypt,EGY,Women,2001,1512.0803299999998,11.2577113,19.5907584,44.5314367,33.7210313,55.3135087,12.5001214,9.1100898,16.4284674,43.5614813,32.9026594,54.365898
Egypt,EGY,Women,2002,1549.68039,11.7009438,19.7823724,44.9571999,34.4530775,55.2937589,12.8274678,9.498383800000001,16.5948291,43.9398389,33.6786798,54.2100323
Egypt,EGY,Women,2003,1589.39995,12.1775833,20.0201106,45.359848400000004,35.2875467,55.1795193,13.1769959,9.9480136,16.7944792,44.2992433,34.3780004,54.130646500000005
Egypt,EGY,Women,2004,1632.0863100000001,12.720395000000002,20.2927612,45.7445347,35.917748100000004,55.1505926,13.5562191,10.3915019,17.0629545,44.6395621,34.947596399999995,54.1059132
Egypt,EGY,Women,2005,1679.3117199999997,13.2297516,20.705857299999998,46.0906411,36.5980481,55.2652469,13.983594499999999,10.8745307,17.4112745,44.9431103,35.5791757,54.0731193
Egypt,EGY,Women,2006,1731.4354600000001,13.8103949,21.1048803,46.3958863,37.1295305,55.28236640000001,14.4674018,11.396774299999999,17.8396563,45.2139098,36.1755308,53.9954665
Egypt,EGY,Women,2007,1788.88354,14.4096237,21.7337507,46.6688903,37.6625549,55.213310699999994,15.0160481,11.957314400000001,18.426431700000002,45.460943,36.6553534,53.95116720000001
Egypt,EGY,Women,2008,1852.74432,15.0441895,22.3349771,46.9118566,38.1633226,55.2519129,15.640245,12.5427197,19.0118066,45.6807907,37.1743164,53.930790900000005
Egypt,EGY,Women,2009,1923.57431,15.7176393,23.061755,47.1305046,38.6774916,55.425507100000004,16.3425281,13.1908191,19.7809765,45.873064400000004,37.5805574,53.9369631
Egypt,EGY,Women,2010,1997.86544,16.4217318,23.8410289,47.321975300000005,38.9783951,55.5700243,17.0938586,13.913314800000002,20.625391200000003,46.0396887,37.8783318,54.00936469999999
Egypt,EGY,Women,2011,2073.72299,17.1304287,24.6137265,47.4809626,39.1676446,55.594738,17.8654028,14.627228,21.432789999999997,46.1713361,38.108730699999995,54.1464946
Egypt,EGY,Women,2012,2150.15398,17.8637042,25.467698100000003,47.6064145,39.216184500000004,55.70880150000001,18.653480599999998,15.3480162,22.278843300000002,46.2682961,38.1563881,54.192173600000004
Egypt,EGY,Women,2013,2228.4489099999996,18.4245502,26.3151351,47.679966,39.2250981,55.88330929999999,19.4749056,15.908925400000001,23.245698400000002,46.3104078,38.2129196,54.2960981
Egypt,EGY,Women,2014,2309.16152,18.9697084,27.2814492,47.6964354,39.0953905,56.1809226,20.3348841,16.5467693,24.3316177,46.2955344,37.9652776,54.4577693
Egypt,EGY,Women,2015,2391.67078,19.4910459,28.5461739,47.6473304,38.627833900000006,56.5932212,21.2358182,17.1010572,25.5720555,46.2269729,37.469782,54.940031499999996
Egypt,EGY,Women,2016,2475.15842,19.8143364,29.7628549,47.5268438,37.8854563,57.0219076,22.151920099999998,17.5312399,26.956082,46.092409499999995,36.7588103,55.4502146
Egypt,EGY,Women,2017,2548.1232999999997,19.9592605,31.1225755,47.383721200000004,37.173866,57.625885499999995,22.9750235,17.7322519,28.3111104,45.943257100000004,36.0786257,55.96741589999999
Egypt,EGY,Women,2018,2612.08977,19.9247112,32.5638094,47.2617566,36.2939728,58.388787099999995,23.7213891,17.846226700000003,29.906143200000002,45.8211106,35.1249036,56.7388978
Egypt,EGY,Women,2019,2675.86263,19.7688225,34.2858089,47.154387,35.058853,59.1683728,24.469524500000002,17.8017544,31.7247063,45.720098300000004,34.0620158,57.5882679
Egypt,EGY,Women,2020,2741.8470700000003,19.472528,36.0766878,47.042173500000004,34.0250881,60.150347800000006,25.221804199999998,17.677827500000003,33.650470500000004,45.6066612,32.9457272,58.589157
Egypt,EGY,Women,2021,2809.58022,19.1347698,38.1025138,46.932540499999995,32.7509438,60.995390400000005,25.953449499999998,17.4457255,35.7238261,45.4696662,31.6208259,59.3934612
Egypt,EGY,Women,2022,2879.2492500000003,18.689027499999998,40.2313891,46.817211,31.511004500000002,62.0432003,26.733136899999998,17.0401883,37.962186700000004,45.361769200000005,30.333137100000002,60.394216199999995
